committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Colorado Voter Defense Project,Issue Committee,2000,11/30/21 0:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,10,11/30/21 0:00,,,,,Office Equipment & Supplies,
Colorado Voter Defense Project,Issue Committee,5000,11/30/21 0:00,Blue Mountain Strategies,Denver,CO,80203,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,30,11/30/21 0:00,1St Bank,Denver,CO,80210,Bank Fees,
Abortion Access For All,Issue Committee,735.2,12/1/20 0:00,"Keynotes, Inc.",Hollis,NH,3049,Consultant & Professional Services,
Alliance For Life,Issue Committee,4733.78,12/1/20 0:00,Salem Media,Dallas,TX,75320,Advertising,
Coalition For Women And Children,Issue Committee,5,12/1/20 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
No On Ee - - A Bad Deal For Colorado,Issue Committee,11,12/1/20 0:00,,,,,Bank Fees,
Rocky Mountain Wolf Action Fund,Issue Committee,14.56,12/1/20 0:00,Action Network,Washington,DC,20036,Fundraising Expenses,Credit Card Processing Fee
Stop The Wolf Pac,Issue Committee,0.5,12/1/20 0:00,Campaign Solutions,Alexandria,VA,22314,Fundraising Expenses,
No Bvsd Recall,Issue Committee,1086.2,12/1/21 0:00,Impact On Edudcation,Louisville,CO,80027,Donation for Independent Expenditures,
Abortion Access For All,Issue Committee,0.87,12/2/20 0:00,Paragon Solutions,Tempe,AZ,85282,Bank Fees,
Colorado Families First,Issue Committee,350,12/2/20 0:00,Everyaction Ngp,Washington,DC,20005,Office Equipment & Supplies,
Safe And Healthy Colorado,Issue Committee,7,12/2/20 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Yes On National Popular Vote,Issue Committee,500,12/2/20 0:00,"Ngp Van, Inc.",Washington,DC,20005,Office Equipment & Supplies,Database
Recall Polis - Griswold 2021,Issue Committee,10,12/2/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Bank Fees
Coalition For Women And Children,Issue Committee,24,12/3/20 0:00,Google,Mountain Views Parkway,CA,94043,Other,6410 ∑ Registration & Hosting
Fair Tax Colorado,Issue Committee,323.94,12/3/20 0:00,Google Llc,Mountain View,CA,94043,Advertising,
Rocky Mountain Wolf Action Fund,Issue Committee,52,12/3/20 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Stop The Wolf Pac,Issue Committee,5000,12/3/20 0:00,Ted Harvey Govt Affairs,Highlands Ranch,CO,80125,Consultant & Professional Services,
Yes On National Popular Vote,Issue Committee,10,12/3/20 0:00,Action Network,Washington,DC,20036,Office Equipment & Supplies,
Colorado Voter Defense Project,Issue Committee,793,12/3/21 0:00,Burro Labs,Denver,CO,80203,Consultant & Professional Services,
Coalition For Women And Children,Issue Committee,1.06,12/4/20 0:00,Fedex,Memphis,TN,38118,Other,6211 ∑ Printing
