District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 03,"Hinrichsen, Nick",Democratic,80.96,4/14/22 0:00,Payroll Vault,Lakewood,CO,80226,Employee Services,
Senate District 03,"Hinrichsen, Nick",Democratic,226.87,4/14/22 0:00,Payroll Vault,Lakewood,CO,80226,Employee Services,
Senate District 03,"Hinrichsen, Nick",Democratic,33.59,4/17/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,700,4/24/22 0:00,Heart + Mind Media,Denver,CO,80207,Advertising,Campaign Video
Senate District 03,"Hinrichsen, Nick",Democratic,21.73,4/24/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,6,10/12/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Wix Business Email
Senate District 03,"Hinrichsen, Nick",Democratic,25,10/12/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Other,Premium Website Plan
Senate District 03,"Hinrichsen, Nick",Democratic,2.97,10/17/21 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,Service Fee
Senate District 03,"Hinrichsen, Nick",Democratic,250,10/20/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Van Access (Hd)
Senate District 03,"Hinrichsen, Nick",Democratic,80,10/26/21 0:00,Health Solutions,Pueblo,CO,81001,Other,Tickets To Sugar Skulls And Marigolds Local Event
Senate District 03,"Hinrichsen, Nick",Democratic,6,11/8/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Other,Wix Business Email
Senate District 03,"Hinrichsen, Nick",Democratic,25,11/8/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Other,Premium Website Plan
Senate District 03,"Hinrichsen, Nick",Democratic,6,12/7/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Other,Wix Business Email
Senate District 03,"Hinrichsen, Nick",Democratic,25,12/7/21 0:00,Wix.Com,Tel Aviv,IS,6350671,Other,Premium Website Plan
Senate District 03,"Hinrichsen, Nick",Democratic,4.12,12/12/21 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,Service Fee
Senate District 03,"Hinrichsen, Nick",Democratic,25.69,12/19/21 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,Service Fee
Senate District 03,"Hinrichsen, Nick",Democratic,41.82,12/20/21 0:00,My Friend The Printer,Pueblo,CO,81003,Office Equipment & Supplies,Thank You Cards
Senate District 03,"Hinrichsen, Nick",Democratic,250,12/20/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Van Access (Sd)
Senate District 03,"Varela, Stephen",Republican,16.3,4/2/22 0:00,Anedot,Baton Rouge,CO,30884,Bank Fees,Anedot Accounting Fee For Lola Spradley Contribution.
Senate District 03,"Varela, Stephen",Republican,1.9,4/11/22 0:00,Anedot,Baton Rouge,CO,30884,Bank Fees,Anedot Accounting Fee For Jamie Thompson Contribution
Senate District 03,"Varela, Stephen",Republican,2.8,4/12/22 0:00,Anedot,Baton Rouge,CO,30884,Bank Fees,Anedot Accounting Fees For Brown & Varela Contributions
Senate District 03,"Varela, Stephen",Republican,300,4/19/22 0:00,Screened Effects,Pueblo,CO,81003,Advertising,Campaign Shirts
Senate District 03,"Varela, Stephen",Republican,32.6,4/21/22 0:00,Anedot,Baton Rouge,LA,30884,Bank Fees,Anedot Accounting Fee Johnson/Swerdfeger Contributions
Senate District 03,"Varela, Stephen",Republican,32.6,4/23/22 0:00,Anedot,Baton Rouge,CO,30884,Bank Fees,Anedot Accounting Fees For Mulvilhill & Nagel Contributions
Senate District 03,"Varela, Stephen",Republican,16.3,4/25/22 0:00,Anedot,Baton Rouge,CO,30884,Bank Fees,Anedot Accounting Fee For Earl Wright Contribution
Senate District 03,"Varela, Stephen",Republican,4,4/26/22 0:00,Zoho Corporation,Pleasanton,CA,94588,Bank Fees,Website Domain
Senate District 04,"Baisley, Mark",Republican,750,1/3/22 0:00,Mark A Baisley,Woodland Park,CO,80863,Other,For Repayment Of Loans To Mark Baisley For Colorado
Senate District 04,"Baisley, Mark",Republican,166,1/7/22 0:00,Usps,Woodland Park,CO,80863,Other,Po Box For Campaign
Senate District 04,"Baisley, Mark",Republican,6.3,1/7/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,4.99,1/14/22 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,38.47,1/18/22 0:00,Amazon,Seattle,WA,98109,Office Equipment & Supplies,Coffee Supplies
Senate District 04,"Baisley, Mark",Republican,2,1/31/22 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 04,"Baisley, Mark",Republican,500,2/3/22 0:00,House Republican Caucus,Denver,CO,80203,Other,Caucus Dues
Senate District 04,"Baisley, Mark",Republican,4.99,2/14/22 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,84,2/22/22 0:00,Vimeo,New York,NY,10011,Other,Website Video Hosting Subscription
Senate District 04,"Baisley, Mark",Republican,135,2/23/22 0:00,Chaffee County Republican Central Committee,Nathrop,CO,81236,Other,Lincoln Day Dinner/Contribution
Senate District 04,"Baisley, Mark",Republican,2,2/28/22 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
