committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Strong Colorado For All,Independent Expenditure Committee,360,1/29/21 0:00,Scarlett Greene,Denver,CO,80210,Consultant & Professional Services,
Strong Colorado For All,Independent Expenditure Committee,2,1/29/21 0:00,,,,,Bank Fees,
Take Back Colorado,Independent Expenditure Committee,0.7,1/29/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/29/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.51,1/29/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Values First Colorado,527 Political Organization,7,1/29/21 0:00,1St Bank,Littleton,CO,80128,Bank Fees,Bank Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/30/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/30/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Born To Run Action Fund,527 Political Organization,2,1/31/21 0:00,,,,,Bank Fees,
Coloradans Against Jared Polis,Independent Expenditure Committee,0.87,1/31/21 0:00,Winred Technical Services Llc,Arlington,VA,22219,Fundraising Expenses,
All Together Colorado,Independent Expenditure Committee,5000,2/1/21 0:00,Mountaintop Strategies,Thornton,CO,80229,Consultant & Professional Services,
All Together Colorado,Independent Expenditure Committee,6000,2/1/21 0:00,Bluemountain Strategies,Denver,CO,80203,Consultant & Professional Services,
Coloradans Against Jared Polis,Independent Expenditure Committee,2,2/1/21 0:00,Firstbank,Denver,CO,80203,Bank Fees,
Coloradans Against Jared Polis,Independent Expenditure Committee,52,2/1/21 0:00,R  Castaneda,Austin,TX,78751,Consultant & Professional Services,
Raising Colorado,Independent Expenditure Committee,10,2/1/21 0:00,First Bank,Denver,CO,80218,Bank Fees,Bank Fee
Restore Colorado Leadership Fund,527 Political Organization,7826.68,2/1/21 0:00,Westbrook Group,Centennial,CO,80016,Fundraising Expenses,
Take Back Colorado,Independent Expenditure Committee,0.7,2/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,4.3,2/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.1,2/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Unite For Colorado Action Iec,Independent Expenditure Committee,-4668.55,2/1/21 0:00,Effectv,New York,NY,10036,Returned Expenditure,Partial Refund
Friends For The Future (F3),527 Political Organization,0.7,2/2/21 0:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Sielaff)
Friends For The Future (F3),527 Political Organization,12.58,2/2/21 0:00,Google Llc,Mountain View,CO,94043,Other,G-Suite For Dedicated Emails
Take Back Colorado,Independent Expenditure Committee,2.3,2/2/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,2/2/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Coloradans Against Jared Polis,Independent Expenditure Committee,420,2/3/21 0:00,Zoho Corporation,Pleasanton,CA,94588,Office Equipment & Supplies,
Colorado Construction Industry Coalition - 527 (Ccic - 527),527 Political Organization,263.65,2/4/21 0:00,Foster Graham Milstein & Calisher,Denver,CO,80209,Consultant & Professional Services,Professional Services
Colorado Construction Industry Coalition - 527 (Ccic - 527),527 Political Organization,925,2/4/21 0:00,Jds Professional Group,Englewood,CO,80112,Consultant & Professional Services,Professional Services
Take Back Colorado,Independent Expenditure Committee,1.1,2/4/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
All Together Colorado,Independent Expenditure Committee,339.7,2/5/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
All Together Colorado,Independent Expenditure Committee,39.5,2/5/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
Colorado Campaign For Jobs And Opportunity,Independent Expenditure Committee,713,2/5/21 0:00,Atchley & Associates Llp,Austin,TX,78752,Consultant & Professional Services,Accounting Services
Colorado'S District Attorney Association Action,Independent Expenditure Committee,244.77,2/5/21 0:00,Cathexis Strategies,Greeley,CO,80631,Other,Reimbursement For Domain Registration
Take Back Colorado,Independent Expenditure Committee,0.7,2/5/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
All Together Colorado,Independent Expenditure Committee,20000,2/8/21 0:00,Irn,Denver,CO,80201,Other,Research
Better Colorado Alliance,Independent Expenditure Committee,20000,2/8/21 0:00,Irn,Denver,CO,80201,Other,Research
"Better Leaders, Better Colorado",Independent Expenditure Committee,250,2/8/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Coloradans For Constitutional Values,Independent Expenditure Committee,250,2/8/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Take Back Colorado,Independent Expenditure Committee,0.7,2/8/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,2/8/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Unite Colorado Election Fund,Independent Expenditure Committee,250,2/8/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
All Together Colorado,527 Political Organization,250,2/9/21 0:00,Byrd Haus,Forrest City,AR,72335,Consultant & Professional Services,
Friends For The Future (F3),527 Political Organization,500,2/9/21 0:00,Julie  Herrmann,Thornton,CO,80602,Consultant & Professional Services,
Friends For The Future (F3),527 Political Organization,134,2/9/21 0:00,United States Postal Service,Englewood,CO,80112,Miscellaneous,Po Office Box Rental
Take Back Colorado,Independent Expenditure Committee,0.7,2/9/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,2/9/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,2,2/9/21 0:00,First Bank,Loveland,CO,80537,Bank Fees,Bank Fees
Take Back Colorado,Independent Expenditure Committee,0.7,2/10/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,2.3,2/10/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
The Colorado Alliance,527 Political Organization,0.78,2/10/21 0:00,Anedot,Dallas,TX,75201,Fundraising Expenses,
Colorado Hospitals Action Fund,Independent Expenditure Committee,44.57,2/11/21 0:00,,,,,Bank Fees,
Noco Reboot,Independent Expenditure Committee,75,2/11/21 0:00,Vote Shirley Peel,Fort Collins,CO,80526,Contributions,
Take Back Colorado,Independent Expenditure Committee,0.7,2/11/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Unite For Colorado Action Iec,Independent Expenditure Committee,73,2/11/21 0:00,Maven Law Group,Denver,CO,80202,Consultant & Professional Services,Legal Fees
Senate Majority Fund,527 Political Organization,9959.18,2/12/21 0:00,Westbrooke Group,Denver,CO,80206,Fundraising Expenses,Fundraising Consulting
